,index,Step,Qlocal,Qglobal,corr,runningtime,curvature,nunit,maxsizeofunit,rep
190,2,MapOutlier,,,,0.0,5.64274,,,47
191,3,Avedmat,,,,0.0054938793182373,,,,47
192,0,1,0.69,0.8760227415455577,0.9944921441287496,0.7820742130279541,5.38645,25.0,1.0,48
193,1,2,0.4404838151908435,0.847636922031687,0.8771486797203143,840.0888719558716,5.38645,25.0,501.0,48
194,2,MapOutlier,,,,0.0,5.38645,,,48
195,3,Avedmat,,,,0.0054938793182373,,,,48
196,0,1,0.65,0.8944012011679262,0.9945935958692482,1.074002742767334,5.33985,25.0,1.0,49
197,1,2,0.4305290926055914,0.8480774464662915,0.8770969416614318,457.4331154823303,5.33985,25.0,501.0,49
198,2,MapOutlier,,,,0.0,5.33985,,,49
199,3,Avedmat,,,,0.0054938793182373,,,,49
